id_vente;date;id_magasin;id_produit;quantite;Gross_Sales;COGS;marge;temps_livraison_jours;statut_livraison
SAL000001;2025-08-23;STR007;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000002;2026-09-14;STR004;PROD004;3;11.4;6.0;5.4;1;À l'heure
SAL000003;2025-08-21;STR008;PROD009;3;135.0;54.0;81.0;2;À l'heure
SAL000004;2025-06-03;STR005;PROD008;3;45.0;18.0;27.0;4;En retard
SAL000005;2026-05-18;STR007;PROD012;2;59.8;24.0;35.8;1;À l'heure
SAL000006;2024-01-16;STR010;PROD001;9;49.5;28.8;20.7;1;À l'heure
SAL000007;2024-10-09;STR003;PROD002;13;28.6;14.3;14.3;2;À l'heure
SAL000008;2024-12-26;STR007;PROD013;2;99.8;44.0;55.8;2;À l'heure
SAL000009;2026-11-24;STR008;PROD013;4;199.6;88.0;111.6;2;À l'heure
SAL000010;2024-04-22;STR005;PROD002;3;6.6;3.3;3.3;4;En retard
SAL000011;2024-11-03;STR004;PROD012;1;29.9;12.0;17.9;4;En retard
SAL000012;2026-08-16;STR008;PROD012;3;89.7;36.0;53.7;2;À l'heure
SAL000013;2026-12-12;STR008;PROD011;1;12.5;4.0;8.5;2;À l'heure
SAL000014;2026-04-13;STR003;PROD008;1;15.0;6.0;9.0;2;À l'heure
SAL000015;2024-08-29;STR006;PROD001;5;27.5;16.0;11.5;2;À l'heure
SAL000016;2024-01-31;STR005;PROD004;10;38.0;20.0;18.0;5;En retard
SAL000017;2025-12-04;STR002;PROD010;3;119.7;45.0;74.7;2;À l'heure
SAL000018;2026-05-18;STR008;PROD012;3;89.7;36.0;53.7;1;À l'heure
SAL000019;2024-08-20;STR006;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000020;2026-11-23;STR002;PROD009;3;135.0;54.0;81.0;2;À l'heure
SAL000021;2026-08-08;STR005;PROD007;1;79.9;35.0;44.9;4;En retard
SAL000022;2024-02-28;STR001;PROD008;3;45.0;18.0;27.0;2;À l'heure
SAL000023;2026-02-09;STR010;PROD011;2;25.0;8.0;17.0;3;À l'heure
SAL000024;2025-12-18;STR006;PROD009;4;180.0;72.0;108.0;2;À l'heure
SAL000025;2024-10-28;STR009;PROD013;1;49.9;22.0;27.9;1;À l'heure
SAL000026;2026-03-13;STR001;PROD007;1;79.9;35.0;44.9;4;En retard
SAL000027;2026-06-15;STR010;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000028;2024-04-21;STR003;PROD013;4;199.6;88.0;111.6;2;À l'heure
SAL000029;2024-11-12;STR007;PROD005;1;59.9;25.0;34.9;5;En retard
SAL000030;2025-10-29;STR004;PROD010;3;119.7;45.0;74.7;1;À l'heure
SAL000031;2025-11-20;STR009;PROD011;4;50.0;16.0;34.0;1;À l'heure
SAL000032;2024-01-18;STR003;PROD006;1;19.9;8.5;11.4;2;À l'heure
SAL000033;2026-02-16;STR005;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000034;2024-12-25;STR003;PROD013;3;149.7;66.0;83.7;1;À l'heure
SAL000035;2024-11-27;STR007;PROD012;2;59.8;24.0;35.8;2;À l'heure
SAL000036;2025-06-11;STR005;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000037;2024-01-12;STR009;PROD009;4;180.0;72.0;108.0;3;À l'heure
SAL000038;2024-07-30;STR007;PROD003;8;27.2;14.4;12.8;1;À l'heure
SAL000039;2025-10-02;STR002;PROD003;10;34.0;18.0;16.0;1;À l'heure
SAL000040;2024-10-09;STR004;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000041;2026-02-18;STR009;PROD007;1;79.9;35.0;44.9;4;En retard
SAL000042;2026-11-19;STR002;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000043;2026-10-29;STR010;PROD003;12;40.8;21.6;19.2;3;À l'heure
SAL000044;2025-11-07;STR009;PROD013;3;149.7;66.0;83.7;2;À l'heure
SAL000045;2025-12-05;STR010;PROD007;1;79.9;35.0;44.9;3;À l'heure
SAL000046;2025-03-01;STR005;PROD005;1;59.9;25.0;34.9;3;À l'heure
SAL000047;2025-08-13;STR002;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000048;2024-03-31;STR004;PROD002;1;2.2;1.1;1.1;1;À l'heure
SAL000049;2025-03-31;STR007;PROD006;1;19.9;8.5;11.4;1;À l'heure
